D:\FCM\sort original MDS42\2021.01.10\OS1 before sort_7.daf
All

Object Number	Area_M02	Aspect Ratio Intensity_M02_Ch02	Height_M02	Intensity_MC_Ch02	Length_M02	Width_M02
3979	5.55555555555555	0.649159105750182	2.66666666666667	1128.05555555555	2.66666666666667	2.33333333333333
3980	18.2222222222222	0.384022972157027	6	5801.92161016952	6	3.66666666666667
3981	15	0.375709359618953	5	5435.84615384618	5	3.66666666666667
3982	6	0.793480959650985	3	622.958333333333	3	2.33333333333333
3983	4.88888888888889	0.817393052580803	2.33333333333333	1682.5	2.33333333333333	2.33333333333333
3984	7.22222222222222	0.81462434070571	3	1471.64112903225	3	3
3985	8.33333333333333	0.600323022438655	3.66666666666667	1811.4140625	3.66666666666667	2.66666666666667
3986	4.77777777777778	0.920868158093159	2.33333333333333	1964.13461538461	2.33333333333333	2.33333333333333
3987	10	0.845441817899718	3.66666666666667	947.194444444447	3.66666666666667	3.33333333333333
3988	5.88888888888889	0.676060099262274	2.66666666666667	1687.77586206896	2.66666666666667	2.66666666666667
3989	5.77777777777778	0.873204342917078	2.66666666666667	632.116379310344	2.66666666666667	2.66666666666667
3990	6.55555555555555	0.522757661749641	3.33333333333333	2180.78448275862	3.33333333333333	2.33333333333333
3991	15.8888888888889	0.561480964068552	5.33333333333333	2942.56666666668	5.33333333333333	3.66666666666667
3992	7.11111111111111	0.600560577724216	3	2703.125	3	3
3993	7.11111111111111	0.554397996280174	3.33333333333333	1501.72368421053	3.33333333333333	2.66666666666667
3994	4.88888888888889	0.748647834918357	2.66666666666667	945.118421052631	2.66666666666667	2.33333333333333
3995	6.77777777777778	0.60358372476414	3.33333333333333	984.30357142857	3.33333333333333	2.33333333333333
3996	6.33333333333333	0.753149363059729	3	1855.95703125	3	2.66666666666667
3997	2.33333333333333	0.395803139553476	2.33333333333333	350.10119047619	2.33333333333333	1.33333333333333
3998	14.3333333333333	0.211684371423008	6.66666666666667	4416.76822916666	6.66666666666667	2.66666666666667
3999	4.77777777777778	0.802906527197915	2.33333333333333	481.891304347825	2.33333333333333	2.33333333333333
4000	6.66666666666667	0.696128568148389	3	1179.94230769231	3	2.66666666666667
4001	9.22222222222222	0.939843032288525	4	795.666666666668	4	3.33333333333333
4002	7.44444444444444	0.925308502546945	3	828.857142857143	3	2.66666666666667
4003	5.11111111111111	0.564382157958527	2.66666666666667	1532.04761904762	2.66666666666667	2.33333333333333
4004	6.44444444444444	0.908226136217029	3	1659.14880952381	3	2.66666666666667
4005	6.88888888888889	0.632944648102196	3	2932.9212962963	3	2.66666666666667
4006	7.88888888888889	0.501814517189221	3.66666666666667	2223.41666666667	3.66666666666667	2.66666666666667
4007	6.22222222222222	0.722199572474997	3	1718.92592592592	3	2.66666666666667
4008	5.66666666666667	0.676704480601732	2.66666666666667	2462.65740740742	2.66666666666667	2.33333333333333
4009	2	0.625030549354524	1.66666666666667	1670.79296875	1.66666666666667	1.33333333333333
4010	10.8888888888889	0.623494249976499	4.33333333333333	2158.97142857144	4.33333333333333	3
4011	5.77777777777778	0.528316522944567	3	2035.203125	3	2.33333333333333
4012	8.22222222222222	0.817270404240891	3.33333333333333	1180.7890625	3.33333333333333	3
4013	6.22222222222222	0.579975527623514	3	1883.2962962963	3	2.33333333333333
4014	7.44444444444444	0.672794667739784	3	2285.98076923076	3	3
4015	5.77777777777778	0.796523151286721	2.66666666666667	1083.1	2.66666666666667	2.33333333333333
4016	7.33333333333333	0.513852832035158	3.66666666666667	4654.99999999999	3.66666666666667	2.33333333333333
4017	4.77777777777778	0.947389514198382	2.33333333333333	589.255952380953	2.33333333333333	2.33333333333333
4018	5.66666666666667	0.609549895025713	3	1870.85576923077	3	2.33333333333333
4019	8.11111111111111	0.594394500417743	3.66666666666667	3881.93103448275	3.66666666666667	2.66666666666667
4020	5.11111111111111	0.715075865876706	2.33333333333333	903.068965517243	2.33333333333333	2.33333333333333
4021	11.4444444444444	0.381790714262685	4.66666666666667	2809.56896551725	4.66666666666667	3
4022	5.22222222222222	0.70166486722744	2.66666666666667	1424.44791666667	2.66666666666667	2.33333333333333
4023	4.66666666666667	0.59897375741	2.66666666666667	865.67261904762	2.66666666666667	2
4024	4.77777777777778	0.542137932657256	3	1518.52884615384	3	2
4025	4	0.709858512555429	2.33333333333333	1147.30978260869	2.33333333333333	2
4026	12.5555555555556	0.581512111153046	4.66666666666667	4009.26249999999	4.66666666666667	3.33333333333333
4027	7.33333333333333	0.482745148997332	3.66666666666667	3632.49999999997	3.66666666666667	2.33333333333333
4028	6	0.588516578215117	2.66666666666667	3157.48275862071	2.66666666666667	2.66666666666667
4029	0	0	0	1196.35714285714	0	0
4030	8.77777777777778	0.41076565992373	4.33333333333333	2318.42307692307	4.33333333333333	2.33333333333333
4031	8	0.508753241832498	3.66666666666667	2975.23124999998	3.66666666666667	2.66666666666667
4032	6.66666666666667	0.574514807763185	3	3092.25	3	2.66666666666667
4033	6.11111111111111	0.678249193165144	2.66666666666667	1315.40517241379	2.66666666666667	2.66666666666667
4034	5.33333333333333	0.591657931290197	3	1566.27586206897	3	2
4035	7.77777777777778	0.388102636214667	3.66666666666667	2981.61538461539	3.66666666666667	2.33333333333333
4036	7	0.615964001568114	3	2030.60344827587	3	2.66666666666667
4037	4	0.856956106153956	2.33333333333333	886.000000000002	2.33333333333333	2
4038	7.22222222222222	0.665006787306634	3.33333333333333	2346.76923076924	3.33333333333333	2.66666666666667
4039	9.55555555555555	0.625510237070947	4	1411.35714285715	4	3
4040	4.44444444444444	0.767096961943962	2.66666666666667	1622.5	2.66666666666667	2
4041	8.66666666666667	0.779630032598712	3.66666666666667	2461.57142857143	3.66666666666667	3
4042	6.33333333333333	0.614018243339754	3	1620.38095238096	3	2.33333333333333
4043	5	0.889972083828618	2.33333333333333	804.166666666665	2.33333333333333	2.33333333333333
4044	5.88888888888889	0.833493039289866	2.66666666666667	2294.625	2.66666666666667	2.66666666666667
4045	0	0	0	1800.02702702703	0	0
4046	9.55555555555555	0.733685448272075	3.66666666666667	2656.3846153846	3.66666666666667	3
4047	8.55555555555555	0.949399392054044	3	730.777777777777	3	3
4048	3.44444444444444	0.928086228360714	2.33333333333333	354.047619047618	2.33333333333333	1.66666666666667
4049	12.8888888888889	0.80619759458937	4.33333333333333	1639.34539473685	4.33333333333333	3.66666666666667
4050	0	0	0	893.630952380954	0	0
4051	3	0.918522074093689	2	902.738095238095	2	1.66666666666667
4052	6.44444444444444	0.859028242856206	2.66666666666667	1477.78749999998	2.66666666666667	2.66666666666667
4053	9.44444444444444	0.457261534018578	4	3404.32407407408	4	2.66666666666667
4054	4.55555555555556	0.624167147810018	2.66666666666667	1463.76190476191	2.66666666666667	2
4055	4.66666666666667	0.808911352812879	2.33333333333333	872.851190476192	2.33333333333333	2.33333333333333
4056	0	0	0	171.981481481482	0	0
4057	6.11111111111111	0.595792243691465	3.33333333333333	1519.21	3.33333333333333	2
4058	13.8888888888889	0.363581149611904	5	4507.875	5	3.33333333333333
4059	8.11111111111111	0.440201179693989	4	2763.02314814815	4	2.33333333333333
4060	8.11111111111111	0.815888329119825	3.66666666666667	1297.76923076923	3.66666666666667	2.66666666666667
4061	10.8888888888889	0.632903913813356	4.33333333333333	2238.63513513513	4.33333333333333	3.33333333333333
4062	8.88888888888889	0.525174820441448	3.66666666666667	2618.33333333333	3.66666666666667	2.66666666666667
