D:\FCM\sort original MDS42\2021.01.10\OS1 before sort_7.daf
All

Object Number	Area_M02	Aspect Ratio Intensity_M02_Ch02	Aspect Ratio_M02	Height_M02	Intensity_MC_Ch02	Length_M02	Width_M02
4628	6.88888888888889	0.563327882084791	0.693916532766951	3.33333333333333	2222.61538461538	3.33333333333333	2.33333333333333
4629	7.55555555555555	0.520085835224307	0.75573409385746	3.33333333333333	2826.91346153845	3.33333333333333	2.66666666666667
4630	6.66666666666667	0.621815509914869	0.712201499652312	3.33333333333333	1855.98275862068	3.33333333333333	2.33333333333333
4631	0	0	0	0	707.285714285715	0	0
4632	5.55555555555555	0.926573759623113	0.945905302926918	2.66666666666667	1157.76190476191	2.66666666666667	2.66666666666667
4633	5.77777777777778	0.632646788494562	0.78393739791533	3	1292.16379310345	3	2.33333333333333
4634	9	0.739308348497431	0.798686925468193	3.66666666666667	2034.6551724138	3.66666666666667	3
4635	6.22222222222222	0.863541485950628	0.929205697848142	2.66666666666667	915.153846153841	2.66666666666667	2.66666666666667
4636	0	0	0	0	621.392857142857	0	0
4637	6.44444444444444	0.709772093224822	0.830136224553075	3	1514.5	3	2.66666666666667
4638	9.33333333333333	0.418330282051862	0.631832029743109	4.33333333333333	3318.32352941176	4.33333333333333	2.66666666666667
4639	9.11111111111111	0.470982171967257	0.609277106723047	4	3066.59482758619	4	2.66666666666667
4640	12.4444444444444	0.493594202555816	0.562184156079503	6.66666666666667	1765.87878787879	9	4.33333333333333
4641	0	0	0	0	598.538793103449	0	0
4642	9.77777777777778	0.458681263851109	0.675412084973992	4	3508.62096774195	4	3
4643	6.11111111111111	0.864156523346061	0.965318132930644	2.66666666666667	983.821428571427	2.66666666666667	2.66666666666667
4644	6	0.501146710393269	0.606139004128345	3.33333333333333	2296.21296296296	3.33333333333333	2
4645	0	0	0	0	620.428571428572	0	0
4646	6.88888888888889	0.838033512240488	0.837554597458892	3	631.422619047619	3	2.66666666666667
4647	10.2222222222222	0.775341041867318	0.926552906563438	3.66666666666667	1018.22348484848	3.66666666666667	3.33333333333333
4648	1.33333333333333	0.326889561553485	0.29277002188456	2	288.25	2	0.666666666666667
4649	6.44444444444444	0.589172525140887	0.787593180178484	3.33333333333333	1925.84134615384	3.33333333333333	2.33333333333333
4650	5.22222222222222	0.773792692494016	0.848273115345178	2.66666666666667	1523.21428571428	2.66666666666667	2.33333333333333
4651	9.55555555555555	0.832927406899438	0.858194479556191	3.66666666666667	1506.65625	3.66666666666667	3.33333333333333
4652	4.66666666666667	0.928627948212168	0.942768618611436	2.33333333333333	1764.63425925926	2.33333333333333	2.33333333333333
4653	8.22222222222222	0.641491555367093	0.812506060848962	3.33333333333333	2757.44444444444	3.33333333333333	3
4654	7.44444444444444	0.704534254147737	0.777014917929205	3	952.09523809524	3	3
4655	5	0.796405837573538	0.868032126908589	2.66666666666667	526.736607142857	2.66666666666667	2.33333333333333
4656	8.55555555555555	0.638062021699632	0.747458004065467	3.33333333333333	1775.27941176471	3.33333333333333	3
4657	9.66666666666667	0.40352206121539	0.602000817853938	4.33333333333333	2888.36764705882	4.33333333333333	2.66666666666667
4658	6.22222222222222	0.65824911513549	0.772431143694923	3	2257.66666666666	3	2.33333333333333
4659	9	0.720792345112072	0.721565211911839	3.66666666666667	2226.73897058824	3.66666666666667	3
4660	4.77777777777778	0.976854030547493	0.917465778507082	2.33333333333333	1316.675	2.33333333333333	2.33333333333333
4661	0	0	0	0	260.333333333333	0	0
4662	6	0.439140065308421	0.424455437995201	4.33333333333333	1763.4375	4.33333333333333	2.33333333333333
4663	6	0.612186390881774	0.781113830948647	3	2229.2037037037	3	2.33333333333333
4664	8.11111111111111	0.479761315542637	0.68543919268167	3.66666666666667	2834.74999999999	3.66666666666667	2.66666666666667
4665	8.22222222222222	0.925205917407449	0.89949106670236	3.33333333333333	1400.81132075468	3.33333333333333	3
4666	3.22222222222222	0.569386431859999	0.672783921589417	2	401.761904761905	2	2
4667	9.55555555555555	0.950251742977745	0.930681409142651	3.66666666666667	803.5	3.66666666666667	3.33333333333333
4668	5.77777777777778	0.634278583876148	0.774954301838506	3	1782.33333333334	3	2.33333333333333
4669	7.44444444444444	0.699498408158184	0.798364189415076	3.33333333333333	2457.50862068966	3.33333333333333	2.66666666666667
4670	6.44444444444444	0.560344912160821	0.689963720761585	3.33333333333333	2024.51442307692	3.33333333333333	2.33333333333333
4671	15.2222222222222	0.555893675992799	0.740950676806504	5	6161.80769230763	5	3.66666666666667
4672	13.7777777777778	0.848652240358314	0.934601637158445	4	2230.3125	4	4
4673	7.66666666666667	0.427906553958412	0.620902831484384	4	2851.06249999999	4	2.33333333333333
4674	7.22222222222222	0.432381788932922	0.546863367284941	4	2170.44047619048	4	2.33333333333333
4675	6.66666666666667	0.694255532011533	0.740307924891174	3	1641.64516129032	3	2.66666666666667
4676	8	0.399599376653428	0.574670389635124	4	3532.22321428573	4	2.66666666666667
4677	7.11111111111111	0.768825960953987	0.833890042079095	3	3762.67857142858	3	2.66666666666667
4678	3.88888888888889	0.482040081255343	0.597976976605814	2.66666666666667	523.741379310344	2.66666666666667	1.66666666666667
4679	6.55555555555555	0.589493834869244	0.684110500941022	3.33333333333333	1837.875	3.33333333333333	2.33333333333333
4680	10.3333333333333	0.895990099502813	0.90367696683373	3.66666666666667	1028.29	3.66666666666667	3.66666666666667
4681	13.3333333333333	0.717683162853947	0.797335306104106	4.33333333333333	2491.91810344826	4.33333333333333	3.66666666666667
4682	13.3333333333333	0.899875890797408	0.818966537691359	4.33333333333333	1816.23214285714	4.33333333333333	3.66666666666667
4683	3.55555555555556	0.893274314765165	0.710851398067453	2.33333333333333	563.15	2.33333333333333	1.66666666666667
4684	5.33333333333333	0.823850547497339	0.816434466785626	2.66666666666667	597.185185185184	2.66666666666667	2.33333333333333
4685	8.11111111111111	0.50553614210932	0.737575113779409	3.66666666666667	2447.11111111112	3.66666666666667	2.66666666666667
4686	0.333333333333333	0	0	1	122.549180327869	1	0.333333333333333
4687	3.55555555555556	0.841328264428963	1	2	614.287128712872	2	2
4688	8.77777777777778	0.892887725283719	0.924123981509601	3.33333333333333	989	3.33333333333333	3.33333333333333
4689	6	0.886476922582527	0.937616701522836	2.66666666666667	771.202380952383	2.66666666666667	2.66666666666667
4690	15.8888888888889	0.311683280147176	0.475786343273915	6.33333333333333	5462.28125	6.33333333333333	3.33333333333333
4691	5.77777777777778	0.519767335514721	0.60336062070269	3.33333333333333	2353.58333333334	3.33333333333333	2
4692	5.66666666666667	0.707277786926358	0.890817892787115	2.66666666666667	1166.55555555555	2.66666666666667	2.66666666666667
4693	7.22222222222222	0.644078468035423	0.729769486196377	3.66666666666667	1271.27678571428	3.66666666666667	2.33333333333333
4694	6.33333333333333	0.604103293351105	0.782112656311874	3	1471	3	2.33333333333333
4695	6.11111111111111	0.622918940316397	0.757264540979753	3	1982.15625	3	2.33333333333333
4696	7.22222222222222	0.61424517174203	0.809320419961871	3.33333333333333	2078.97983870968	3.33333333333333	2.66666666666667
4697	5.55555555555555	0.875810617673885	0.860892045394467	2.66666666666667	1236.5625	2.66666666666667	2.33333333333333
4698	7.33333333333333	0.492529669563329	0.670193858418247	3.33333333333333	2851.0474137931	3.33333333333333	2.66666666666667
4699	5.88888888888889	0.722383759614411	0.78470797672875	3	1301.75	3	2.33333333333333
4700	6.33333333333333	0.574224992791606	0.754080266309624	3	2097.95192307692	3	2.33333333333333
4701	7	0.81365275023273	0.858158645007617	3	1334.71120689656	3	2.66666666666667
4702	7.88888888888889	0.700469152847853	0.787151728154906	3	2233.61111111111	3	3
4703	10.1111111111111	0.867474256339239	0.820659198304974	4	1008.96120689656	4	3.33333333333333
4704	6	0.79356241185527	0.769565860913349	3	1436.14583333334	3	2.33333333333333
4705	10.1111111111111	0.904696019691086	0.826850920114806	3.66666666666667	894.979166666665	3.66666666666667	3.33333333333333
4706	8.22222222222222	0.850091073544297	0.849302288121593	3	871.083333333331	3	3
4707	9.22222222222222	0.512660266239445	0.740542851825992	4	3096.40972222221	4	3
4708	7.22222222222222	0.521332669423709	0.726727041994407	3.33333333333333	2288.4765625	3.33333333333333	2.66666666666667
4709	6.88888888888889	0.462078319624361	0.593785008690613	3.66666666666667	1099.01293103448	3.66666666666667	2.33333333333333
4710	9.22222222222222	0.944463908571512	0.93458087356984	3.33333333333333	1015.96551724138	3.33333333333333	3.33333333333333
4711	10.1111111111111	0.708900868650262	0.758375438747103	4	1688.50431034483	4	3
4712	0	0	0	0	815.928571428574	0	0
4713	14.2222222222222	0.433328375003683	0.607041398382797	5	4567.75	5	3.66666666666667
4714	8.33333333333333	0.758723725905334	0.871868961527286	3.33333333333333	2588.30932203383	3.33333333333333	3
4715	6.77777777777778	0.504610540494514	0.680804777782686	3.33333333333333	2336.09523809524	3.33333333333333	2.66666666666667
4716	13.2222222222222	0.583179402833561	0.706731554169154	4.66666666666667	4829.46691176468	4.66666666666667	3.33333333333333
4717	8.11111111111111	0.570300062915758	0.706132420926079	3.66666666666667	2814.75	3.66666666666667	2.66666666666667
4718	5.22222222222222	0.73053355346272	0.799231752449348	2.66666666666667	1470.28571428571	2.66666666666667	2.33333333333333
4719	5.22222222222222	0.799252084539813	0.85014532829879	2.66666666666667	1107.32142857143	2.66666666666667	2.33333333333333
4720	5.33333333333333	0.495479374590003	0.64635802113308	3	1279.55555555556	3	2
4721	6.22222222222222	0.942377717207679	0.994843849915325	2.66666666666667	1431.90740740741	2.66666666666667	2.66666666666667
4722	8	0.8535399218355	0.925620126173551	3	842.344827586209	3	3
4723	6.22222222222222	0.742972417155921	0.810628774681797	2.66666666666667	1692.64880952381	2.66666666666667	2.66666666666667
4724	0	0	0	0	655.73076923077	0	0
4725	8.11111111111111	0.570336729200532	0.788574321605031	3.33333333333333	1850.2379032258	3.33333333333333	3
4726	7.66666666666667	0.628112725262397	0.806951967671469	3.33333333333333	2463.67741935484	3.33333333333333	2.66666666666667
4727	9.55555555555555	0.318746744470099	0.486583101423538	4.66666666666667	2285.8306451613	4.66666666666667	2.33333333333333
4728	6.44444444444444	0.532676232486507	0.708799059619489	3.33333333333333	1468.93055555555	3.33333333333333	2.33333333333333
4729	6.66666666666667	0.675208310111497	0.828892528291235	3	1677.49999999999	3	2.66666666666667
4730	8.77777777777778	0.777181466139135	0.874668487508432	3.33333333333333	3978.80357142859	3.33333333333333	3.33333333333333
4731	7	0.683331466662093	0.855859396740004	3	2044.16071428572	3	2.66666666666667
4732	4.66666666666667	0.415883004662932	0.630777324043054	3	552.163461538462	3	2
4733	5.22222222222222	0.64884252549289	0.78410950138972	2.66666666666667	1223	2.66666666666667	2.33333333333333
4734	23.6666666666667	0.444143585050526	0.567809920311178	7	3785.78378378382	7	4.33333333333333
4735	7.55555555555555	0.827248072295107	0.813447315985352	3.33333333333333	2181.93534482759	3.33333333333333	2.66666666666667
4736	7	0.779247175821917	0.799779073024028	3.33333333333333	1015.35714285714	3.33333333333333	2.66666666666667
4737	4.66666666666667	0.953328385748547	0.949089024567232	2.33333333333333	771.422619047618	2.33333333333333	2.33333333333333
4738	18.7777777777778	0.688962961126685	0.80126107516416	5.33333333333333	2028.52500000001	5.33333333333333	4.33333333333333
4739	5.44444444444444	0.716934679557969	0.785221724542225	2.66666666666667	1467	2.66666666666667	2.33333333333333
4740	0	0	0	0	950.714285714288	0	0
4741	4.66666666666667	0.845787018969464	0.949089024567232	2.33333333333333	1726.33333333333	2.33333333333333	2.33333333333333
